timestamp,username,source_ip,destination_host,event_type,login_status,device_id,login_hour,privilege_level,new_device,mfa_event,process_name,failed_login_count,unique_host_count,unique_ip_count,login_frequency,remote_login,privilege_escalation,credential_access,scenario,label
2024-01-01 00:05:31,employee18,10.20.0.19,vpn-gateway,login,success,DEV-1018,0,user,0,none,NA,0,1,1,1,1,0,0,credential_access,1
2024-01-01 00:07:31,employee18,10.20.0.19,mail-server-01,process_start,NA,DEV-1018,0,user,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1
2024-01-01 00:10:31,employee18,10.20.0.19,app-server-01,process_start,NA,DEV-1018,0,user,0,none,sim_credential_access_tool,0,3,1,1,0,0,1,credential_access,1
2024-01-01 00:12:31,employee18,10.20.0.19,file-server-01,process_start,NA,DEV-1018,0,user,0,none,sim_credential_access_tool,0,4,1,1,0,0,1,credential_access,1
2024-01-01 00:30:16,admin04,10.30.0.4,vpn-gateway,login,success,DEV-2004,0,admin,0,none,NA,0,1,1,1,1,0,0,credential_access,1
2024-01-01 00:31:16,admin04,10.30.0.4,db-server-01,process_start,NA,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1
2024-01-01 00:34:16,admin04,10.30.0.4,db-server-01,process_start,NA,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,2,1,1,0,0,1,credential_access,1
2024-01-01 00:37:16,admin04,10.30.0.4,hr-portal,process_start,NA,DEV-2004,0,admin,0,none,sim_credential_access_tool,0,3,1,1,0,0,1,credential_access,1
2024-01-01 00:41:55,admin03,203.0.113.129,mfa-service,mfa_event,NA,DEV-2003,0,admin,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:42:55,admin03,203.0.113.129,mfa-service,mfa_event,NA,DEV-2003,0,admin,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:44:55,admin03,203.0.113.129,mfa-service,mfa_event,NA,DEV-2003,0,admin,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:47:55,admin03,203.0.113.129,mfa-service,mfa_event,NA,DEV-2003,0,admin,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:48:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:48:55,admin03,203.0.113.129,mfa-service,mfa_event,NA,DEV-2003,0,admin,1,new_device_registered,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:49:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:49:55,admin03,203.0.113.129,vpn-gateway,login,success,DEV-2003,0,admin,1,none,NA,0,2,1,1,1,0,0,mfa_fatigue,1
2024-01-01 00:50:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:51:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:55:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 00:59:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,0,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 01:00:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,1,user,0,push_denied,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 01:01:33,employee01,198.51.100.120,mfa-service,mfa_event,NA,DEV-1001,1,user,1,new_device_registered,NA,0,1,1,0,0,0,0,mfa_fatigue,1
2024-01-01 01:02:33,employee01,198.51.100.120,vpn-gateway,login,success,DEV-1001,1,user,1,none,NA,0,2,1,1,1,0,0,mfa_fatigue,1
2024-01-01 01:46:49,employee03,192.0.2.119,vpn-gateway,login,success,DEV-UNKNOWN-955,1,user,1,none,NA,0,1,1,1,1,0,0,unusual_login,1
2024-01-01 01:49:49,employee03,192.0.2.119,file-server-01,server_access,NA,DEV-UNKNOWN-955,1,user,1,none,NA,0,2,1,1,0,0,0,unusual_login,1
2024-01-01 01:53:49,employee03,192.0.2.119,hr-portal,server_access,NA,DEV-UNKNOWN-955,1,user,1,none,NA,0,3,1,1,0,0,0,unusual_login,1
2024-01-01 01:55:26,employee04,10.20.0.5,vpn-gateway,login,success,DEV-1004,1,user,0,none,NA,0,1,1,1,1,0,0,lateral_movement,1
2024-01-01 01:56:52,employee04,10.20.0.5,file-server-01,server_access,NA,DEV-1004,1,user,0,none,NA,0,2,1,1,0,0,0,lateral_movement,1
2024-01-01 01:58:43,employee04,10.20.0.5,mail-server-01,server_access,NA,DEV-1004,1,user,0,none,NA,0,3,1,1,0,0,0,lateral_movement,1
2024-01-01 02:00:32,employee04,10.20.0.5,dc-01,server_access,NA,DEV-1004,2,user,0,none,NA,0,4,1,1,0,0,0,lateral_movement,1
2024-01-01 02:01:45,employee04,10.20.0.5,backup-server-01,server_access,NA,DEV-1004,2,user,0,none,NA,0,5,1,1,0,0,0,lateral_movement,1
2024-01-01 02:02:19,employee04,10.20.0.5,db-server-01,server_access,NA,DEV-1004,2,user,0,none,NA,0,6,1,1,0,0,0,lateral_movement,1
2024-01-01 02:21:04,employee05,203.0.113.170,vpn-gateway,login,failed,DEV-UNKNOWN-146,2,user,1,none,NA,1,1,1,1,1,0,0,combined_cisco,1
2024-01-01 02:21:43,employee05,203.0.113.170,vpn-gateway,login,failed,DEV-UNKNOWN-146,2,user,1,none,NA,2,1,1,2,1,0,0,combined_cisco,1
2024-01-01 02:23:04,employee05,203.0.113.170,vpn-gateway,login,failed,DEV-UNKNOWN-146,2,user,1,none,NA,3,1,1,3,1,0,0,combined_cisco,1
2024-01-01 02:23:46,employee05,203.0.113.170,vpn-gateway,login,failed,DEV-UNKNOWN-146,2,user,1,none,NA,4,1,1,4,1,0,0,combined_cisco,1
2024-01-01 02:24:46,employee05,203.0.113.170,vpn-gateway,login,success,DEV-UNKNOWN-146,2,user,1,none,NA,4,1,1,5,1,0,0,combined_cisco,1
2024-01-01 02:25:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-UNKNOWN-146,2,user,1,push_denied,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:26:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-UNKNOWN-146,2,user,1,push_denied,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:28:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-UNKNOWN-146,2,user,1,push_denied,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:29:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-UNKNOWN-146,2,user,1,push_denied,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:31:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-UNKNOWN-146,2,user,1,push_denied,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:32:46,employee05,203.0.113.170,mfa-service,mfa_event,NA,DEV-1005,2,user,1,new_device_registered,NA,4,2,1,5,0,0,0,combined_cisco,1
2024-01-01 02:34:46,employee05,203.0.113.170,admin-portal,privilege_change,NA,DEV-1005,2,admin,1,none,NA,4,3,1,5,0,1,0,combined_cisco,1
2024-01-01 02:35:46,employee05,203.0.113.170,app-server-01,process_start,NA,DEV-1005,2,admin,0,none,sim_credential_access_tool,4,4,1,5,0,0,1,combined_cisco,1
2024-01-01 02:37:04,employee05,203.0.113.170,mail-server-01,server_access,NA,DEV-1005,2,admin,0,none,NA,2,5,1,5,0,0,0,combined_cisco,1
2024-01-01 02:38:03,employee05,203.0.113.170,file-server-01,server_access,NA,DEV-1005,2,admin,0,none,NA,2,6,1,5,0,0,0,combined_cisco,1
2024-01-01 02:38:57,employee05,203.0.113.170,db-server-01,server_access,NA,DEV-1005,2,admin,0,none,NA,0,7,1,5,0,0,0,combined_cisco,1
2024-01-01 02:40:13,employee05,203.0.113.170,backup-server-01,server_access,NA,DEV-1005,2,admin,0,none,NA,0,7,1,5,0,0,0,combined_cisco,1
2024-01-01 02:41:37,employee05,203.0.113.170,dc-01,server_access,NA,DEV-1005,2,admin,0,none,NA,0,8,1,5,0,0,0,combined_cisco,1
2024-01-01 04:56:34,employee15,203.0.113.144,vpn-gateway,login,success,DEV-UNKNOWN-294,4,user,1,none,NA,0,1,1,1,1,0,0,unusual_login,1
2024-01-01 05:04:34,employee15,203.0.113.144,file-server-01,server_access,NA,DEV-UNKNOWN-294,5,user,1,none,NA,0,2,1,1,0,0,0,unusual_login,1
2024-01-01 05:08:34,employee15,203.0.113.144,app-server-01,server_access,NA,DEV-UNKNOWN-294,5,user,1,none,NA,0,3,1,1,0,0,0,unusual_login,1
2024-01-01 05:12:34,employee15,203.0.113.144,db-server-01,server_access,NA,DEV-UNKNOWN-294,5,user,1,none,NA,0,3,1,1,0,0,0,unusual_login,1
2024-01-01 08:00:21,employee27,10.20.0.28,vpn-gateway,login,success,DEV-1027,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:00:47,employee27,10.20.0.28,vpn-gateway,login,success,DEV-1027,8,user,0,push,NA,0,1,1,2,1,0,0,normal,0
2024-01-01 08:06:47,employee09,10.20.0.10,vpn-gateway,login,success,DEV-1009,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:09:23,employee11,10.20.0.12,vpn-gateway,login,success,DEV-1011,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:10:07,employee30,10.20.0.31,vpn-gateway,login,success,DEV-1030,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:10:50,employee21,10.20.0.22,vpn-gateway,login,success,DEV-1021,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:11:06,employee35,10.20.0.36,vpn-gateway,login,success,DEV-1035,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:11:47,employee09,10.20.0.10,mail-server-01,email_access,NA,DEV-1009,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:12:19,employee15,10.20.0.16,vpn-gateway,login,success,DEV-1015,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:14:23,employee11,10.20.0.12,file-server-01,file_access,NA,DEV-1011,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:16:47,employee09,10.20.0.10,vpn-gateway,logout,NA,DEV-1009,8,user,0,none,NA,0,2,1,1,1,0,0,normal,0
2024-01-01 08:18:59,employee28,10.20.0.29,vpn-gateway,login,success,DEV-1028,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:19:23,employee11,10.20.0.12,vpn-gateway,logout,NA,DEV-1011,8,user,0,none,NA,0,2,1,1,1,0,0,normal,0
2024-01-01 08:21:07,employee30,10.20.0.31,hr-portal,email_access,NA,DEV-1030,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:21:21,employee36,10.20.0.37,vpn-gateway,login,success,DEV-1036,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:22:06,employee35,10.20.0.36,file-server-01,email_access,NA,DEV-1035,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:22:47,employee27,10.20.0.28,file-server-01,file_access,NA,DEV-1027,8,user,0,none,NA,0,1,1,2,0,0,0,normal,0
2024-01-01 08:24:21,employee32,10.20.0.33,vpn-gateway,login,success,DEV-1032,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:24:21,employee27,10.20.0.28,hr-portal,file_access,NA,DEV-1027,8,user,0,none,NA,0,2,1,2,0,0,0,normal,0
2024-01-01 08:30:06,employee23,10.20.0.24,vpn-gateway,login,success,DEV-1023,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:31:50,employee21,10.20.0.22,file-server-01,server_access,NA,DEV-1021,8,user,0,none,NA,0,1,1,1,0,0,0,normal,0
2024-01-01 08:33:59,employee28,10.20.0.29,hr-portal,server_access,NA,DEV-1028,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:34:19,employee15,10.20.0.16,file-server-01,email_access,NA,DEV-1015,8,user,0,none,NA,0,1,1,1,0,0,0,normal,0
2024-01-01 08:35:21,employee36,10.20.0.37,mail-server-01,file_access,NA,DEV-1036,8,user,0,none,NA,0,2,1,1,0,0,0,normal,0
2024-01-01 08:35:59,employee09,10.20.0.10,vpn-gateway,login,success,DEV-1009,8,user,0,push,NA,0,1,1,2,1,0,0,normal,0
2024-01-01 08:36:21,employee27,10.20.0.28,vpn-gateway,logout,NA,DEV-1027,8,user,0,none,NA,0,3,1,2,1,0,0,normal,0
2024-01-01 08:37:02,employee04,10.20.0.5,vpn-gateway,login,success,DEV-1004,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:37:35,employee22,10.20.0.23,vpn-gateway,login,success,DEV-1022,8,user,0,push,NA,0,1,1,1,1,0,0,normal,0
2024-01-01 08:39:06,employee35,10.20.0.36,hr-portal,file_access,NA,DEV-1035,8,user,0,none,NA,0,1,1,1,0,0,0,normal,0
2024-01-01 08:39:07,employee30,10.20.0.31,hr-portal,file_access,NA,DEV-1030,8,user,0,none,NA,0,1,1,1,0,0,0,normal,0
2024-01-01 08:39:48,employee15,10.20.0.16,vpn-gateway,login,success,DEV-1015,8,user,0,push,NA,0,2,1,2,1,0,0,normal,0
2024-01-01 08:40:49,employee28,10.20.0.29,vpn-gateway,login,success,DEV-1028,8,user,0,push,NA,0,2,1,2,1,0,0,normal,0
